2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
MIDSIZE CARS,BUICK,LACROSSE/ALLURE,8,20.2,34.1,24.7377
MIDSIZE CARS,CADILLAC,CTS,6,21.465,36.8354,26.4273
MIDSIZE CARS,CADILLAC,CTS,6,22.3,36.9,27.1306
MIDSIZE CARS,CADILLAC,CTS AWD,6,20.9,36.7,25.9219
MIDSIZE CARS,CADILLAC,CTS AWD,6,21.2,35,25.7728
MIDSIZE CARS,CADILLAC,STS,6,21.465,36.8354,26.4273
MIDSIZE CARS,CADILLAC,STS,8,15.9,26.9,19.4856
MIDSIZE CARS,CADILLAC,STS,8,18.5,34.1,23.2958
MIDSIZE CARS,CADILLAC,STS AWD,6,20.9,36.7,25.9219
MIDSIZE CARS,CADILLAC,STS AWD,8,18.4,30.3,22.35
MIDSIZE CARS,CHEVROLET,MALIBU,4,27.8,46.8,34.0141
MIDSIZE CARS,CHEVROLET,MALIBU,4,27.4,42.6,32.6409
MIDSIZE CARS,CHEVROLET,MALIBU,6,22.9,40.3,28.4222
MIDSIZE CARS,CHEVROLET,MALIBU,6,21.4,35.6,26.0815
MIDSIZE CARS,CHEVROLET,MALIBU HYBRID,4,33.2,48.1,38.5776
MIDSIZE CARS,CHRYSLER,SEBRING,4,26.9,41.6998,32.0128
MIDSIZE CARS,CHRYSLER,SEBRING,6,16.9,27.8,20.5206
MIDSIZE CARS,CHRYSLER,SEBRING,6,24.2,38.3,29.0052
MIDSIZE CARS,CHRYSLER,SEBRING,6,20.3,37.6,25.6005
MIDSIZE CARS,DODGE,AVENGER,4,26.9,41.6998,32.0128
MIDSIZE CARS,DODGE,AVENGER,6,16.9,27.8,20.5206
MIDSIZE CARS,DODGE,AVENGER,6,24.2,38.3,29.0052
MIDSIZE CARS,DODGE,AVENGER,6,20.3,37.6,25.6005
MIDSIZE CARS,DODGE,CALIBER                    ,4,28.8945,38,32.3867
MIDSIZE CARS,DODGE,CALIBER                    ,4,27.1,35.3,30.2635
MIDSIZE CARS,FERRARI,FERRARI 612 SCAGLIETTI,12,11.4498,21.7,14.5406
MIDSIZE CARS,FORD,FUSION AWD,6,20.9413,34.4146,25.4196
MIDSIZE CARS,FORD,FUSION FWD,4,25.815,39.6041,30.6111
MIDSIZE CARS,FORD,FUSION FWD,6,22.3,36.1,26.9331
MIDSIZE CARS,HYUNDAI,ELANTRA,4,31.6342,46.0764,36.8288
MIDSIZE CARS,JAGUAR,JAGUAR XF,8,19.7,34.5,24.4127
MIDSIZE CARS,JAGUAR,JAGUAR XF SUPERCHARGED,8,18,31.9,22.3903
MIDSIZE CARS,KIA,OPTIMA,4,27.8,44.6,33.4741
MIDSIZE CARS,KIA,OPTIMA,6,24.9,39.8,29.9447
MIDSIZE CARS,KIA,SPECTRA,4,30.2265,44.5381,35.3361
MIDSIZE CARS,LEXUS,ES 350,6,23.8,38.3,28.6873
MIDSIZE CARS,LEXUS,GS 350,6,23.703,36.5108,28.1461
MIDSIZE CARS,LEXUS,GS 350 AWD,6,22.3982,34.7494,26.6628
MIDSIZE CARS,LEXUS,GS 460,8,21.0489,34.0499,25.4158
MIDSIZE CARS,LEXUS,LS 460,8,20.159,33.6487,24.5963
MIDSIZE CARS,LEXUS,LS 460 AWD,8,19.4495,32.0893,23.6397
MIDSIZE CARS,LEXUS,LS 460 L,8,20.159,33.6487,24.5963
MIDSIZE CARS,LEXUS,LS 460 L AWD,8,19.4495,32.0893,23.6397
MIDSIZE CARS,LEXUS,LS 600H L,8,24.7,30.3,26.9406
MIDSIZE CARS,LINCOLN-MERCURY,MILAN AWD,6,20.9413,34.4146,25.4196
MIDSIZE CARS,LINCOLN-MERCURY,MILAN FWD,4,25.815,39.6041,30.6111
MIDSIZE CARS,LINCOLN-MERCURY,MILAN FWD,6,22.3,36.1,26.9331
MIDSIZE CARS,LINCOLN-MERCURY,MKZ AWD,6,20.6,33.2,24.8427
MIDSIZE CARS,LINCOLN-MERCURY,MKZ FWD,6,22.3,38.5,27.5088
MIDSIZE CARS,MAZDA,MAZDA 6,4,27.0769,41.6313,32.1319
MIDSIZE CARS,MAZDA,MAZDA 6,6,21.5603,34.4497,25.9253
MIDSIZE CARS,MERCEDES-BENZ,E320 BLUETEC,6,29.1,45.3,34.6811
MIDSIZE CARS,MERCEDES-BENZ,E350,6,20.7042,33.8669,25.0929
MIDSIZE CARS,MERCEDES-BENZ,E350 4MATIC,6,20.3,30.6,23.9237
MIDSIZE CARS,MERCEDES-BENZ,E550,8,18.4,31.1,22.5424
MIDSIZE CARS,MERCEDES-BENZ,E550 4MATIC,8,16.5,26.7,19.9254
MIDSIZE CARS,MERCEDES-BENZ,E63 AMG,8,16,27.3,19.6624
MIDSIZE CARS,MITSUBISHI,GALANT,4,25.3617,38.1231,29.8595
MIDSIZE CARS,MITSUBISHI,GALANT,6,20.4316,34.5708,25.0402
MIDSIZE CARS,NISSAN,ALTIMA,4,29.316,43.3105,34.3039
MIDSIZE CARS,NISSAN,ALTIMA,6,24.1944,35.6452,28.283
MIDSIZE CARS,NISSAN,ALTIMA HYBRID,4,46.8,46.6,46.7098
MIDSIZE CARS,NISSAN,MAXIMA,6,24.3176,36.4577,28.6038
MIDSIZE CARS,NISSAN,SENTRA,4,30.1,42.6998,34.7088
MIDSIZE CARS,NISSAN,VERSA,4,34.4493,46.2499,38.9177
MIDSIZE CARS,NISSAN,VERSA,4,30.748,44.6913,35.77
MIDSIZE CARS,ROLLS-ROYCE,PHANTOM,12,13.9939,24.2,17.2718
MIDSIZE CARS,SATURN,ASTRA 4DR HATCHBACK,4,31.1,42.1,35.2439
MIDSIZE CARS,SATURN,AURA,4,27.8,46.8,34.0141
MIDSIZE CARS,SATURN,AURA,6,21.4,35.6,26.0815
MIDSIZE CARS,SATURN,AURA HYBRID,4,33.2,48.1,38.5776
MIDSIZE CARS,TOYOTA,CAMRY,4,27.2554,44.0337,32.8959
MIDSIZE CARS,TOYOTA,CAMRY,6,24.5,39.8,29.6248
MIDSIZE CARS,TOYOTA,CAMRY HYBRID,4,44.2454,48.2,45.9416
MIDSIZE CARS,TOYOTA,PRIUS,4,66.6,64.8,65.7778
MIDSIZE CARS,VOLKSWAGEN,PASSAT,4,24.3,39,29.2635
MIDSIZE CARS,VOLVO,S80 AWD,6,19.0408,32.1293,23.3148
MIDSIZE CARS,VOLVO,S80 AWD,8,18.7027,30.8105,22.7206
MIDSIZE CARS,VOLVO,S80 FWD,6,20.5767,35.4373,25.3628
LARGE CARS,AUDI,A8 L,8,19.8642,31.4114,23.8016
LARGE CARS,AUDI,A8 L,12,15.9,26.7,19.4382
LARGE CARS,BENTLEY,ARNAGE RL,8,11.5028,21.0609,14.4549
LARGE CARS,BUICK,LUCERNE,6,21.2,36.6,26.1517
LARGE CARS,BUICK,LUCERNE,6,16,27.3,19.6624
LARGE CARS,BUICK,LUCERNE,6,21.7,37.3,26.7308
LARGE CARS,BUICK,LUCERNE,8,19,31.9,23.2267
LARGE CARS,CADILLAC,DTS,8,19,31.9,23.2267
LARGE CARS,CADILLAC,DTS,8,19,31.9,23.2267
LARGE CARS,CADILLAC,FUNERAL COACH/HEARSE,8,14.9,22.7,17.6253
LARGE CARS,CADILLAC,LIMOUSINE,8,15.1,25.1,18.3985
LARGE CARS,CHEVROLET,IMPALA,6,22.9,40.3,28.4222
LARGE CARS,CHEVROLET,IMPALA,6,17.6,30.3,21.6913
LARGE CARS,CHEVROLET,IMPALA,6,24.1,41.2,29.635
LARGE CARS,CHEVROLET,IMPALA,6,16,27.3,19.6624
LARGE CARS,CHEVROLET,IMPALA,6,21.7,37.3,26.7308
LARGE CARS,CHEVROLET,IMPALA,8,20.2,34.1,24.7377
LARGE CARS,CHRYSLER,300 AWD,6,20.7,32.1,24.6374
LARGE CARS,CHRYSLER,300 AWD,8,19.5,31.9,23.6341
LARGE CARS,CHRYSLER,300/SRT-8,6,23.1,35.8989,27.5143
LARGE CARS,CHRYSLER,300/SRT-8,6,21.5,34.2,25.8136
LARGE CARS,CHRYSLER,300/SRT-8,8,19.3,34.5,24.0727
